,N,P,K,temperature,humidity,ph,rainfall,state,label
0,28,128,203,23.489056444410643,94.596368718682,5.868309242376011,100.27701672951565,Jammu and Kashmir,apple
1,16,122,197,22.901183048933405,94.79446699393029,5.583838761942248,107.03064554034286,Himachal Pradesh,apple
2,23,129,201,23.253149711571155,92.16852664698148,5.9098071829047925,121.41291707023797,Uttarakhand,apple
3,14,135,202,21.088036168665774,91.24463241760165,5.800852129440563,105.64018243645653,Himachal Pradesh,apple
4,1,125,200,21.786913945847438,90.79902587983193,5.893469806481254,105.02589149147924,Uttarakhand,apple
5,24,132,202,22.595385975057475,90.71657039280723,5.859604084307017,115.63461057701011,Uttar Pradesh,apple
6,16,131,204,22.7929171190327,92.68520960120337,6.12737066129964,107.62671116684812,Himachal Pradesh,apple
7,0,143,199,23.229818253227535,91.34027685166012,5.813184385071299,116.10633932455407,Punjab,apple
8,25,143,199,22.274316512120404,90.11081979821844,5.632881674984416,118.85166869637914,Andhra Pradesh,apple
9,3,132,198,23.68456081374332,94.89427194577907,5.926662979779468,118.14425351389981,Jammu and Kashmir,apple
10,17,121,202,21.781109727761738,90.38230292489487,5.5362846654110545,106.77513654943813,Jammu and Kashmir,apple
11,5,132,195,22.80996904658468,90.40384993786165,5.8398649203923405,114.67945947939789,Uttarakhand,apple
12,34,130,195,21.115440886784913,91.05289804697516,6.369188863313756,113.3022831203127,Andhra Pradesh,apple
13,37,129,201,22.413209318513704,90.66971475551685,5.692114423605439,107.43019780842411,Jammu and Kashmir,apple
14,17,121,201,23.5638821812517,91.04135073860311,5.5702622751162805,123.10893276321254,Himachal Pradesh,apple
15,37,123,196,23.840043115486086,93.78262193841702,5.815435457130813,100.12624241222271,Andhra Pradesh,apple
16,8,144,199,22.543121014188735,94.7494625391887,5.5339523809546405,104.64702886300672,Uttarakhand,apple
17,39,124,201,23.80672140745853,94.91481699884592,5.9451122177006,116.74673796698556,Jammu and Kashmir,apple
18,5,132,200,23.19250886355626,92.80662687182759,6.088679693964502,111.82314422845849,Andhra Pradesh,apple
19,11,131,196,23.24750346482756,94.22594687889685,5.589082994341258,108.61014469069946,Jammu and Kashmir,apple
20,1,133,203,21.754112563927112,92.95395384197789,5.7013731436049975,102.96453297225335,Jammu and Kashmir,apple
21,13,124,202,23.20787516227473,93.47509754685427,6.137840109152966,102.50402243033763,Uttarakhand,apple
22,32,125,197,21.68453339627112,92.03737699012414,5.861121764860597,109.20500133267457,Punjab,apple
23,16,138,196,23.85411979110314,93.33055909098078,5.532816946851878,108.01390998322597,Jammu and Kashmir,apple
24,33,121,195,23.93629459203334,90.06684763498565,5.917708191625872,123.88690112289805,Andhra Pradesh,apple
25,15,133,200,22.661038369776175,90.28519055400203,5.601144661158225,104.08636115755631,Punjab,apple
26,11,133,195,23.545364847145116,93.17405243225348,5.943186632143558,121.90126284920215,Nagaland,apple
27,0,127,199,21.969500943455873,91.29625871577132,5.8010430635514325,105.35566167226756,Punjab,apple
28,21,122,200,21.20176185981377,93.4806412477996,5.708852413377625,106.33476264313136,Punjab,apple
29,1,143,200,23.961781252168265,91.93589339956382,5.589262652000087,116.56291511179833,Uttarakhand,apple
30,35,134,199,23.004846166880064,91.40130637906918,6.130156924003919,116.01098299713456,Andhra Pradesh,apple
31,15,141,202,21.550974110619173,90.11883196880262,5.693049861037904,124.78284532760837,Uttar Pradesh,apple
32,2,139,200,23.71701111139975,92.5760590171991,6.405428912293317,112.13868142796429,Jammu and Kashmir,apple
33,12,120,195,22.70805083656728,93.24205979048428,5.884392790761879,111.40929037194742,Andhra Pradesh,apple
34,23,131,204,23.170626211725153,93.56683452277366,5.752490823822745,112.2385123977751,Punjab,apple
35,37,132,196,22.274609179244667,92.44857357747256,5.725835120483105,119.80795949410447,Himachal Pradesh,apple
36,39,121,204,21.779427634981683,93.10833213070752,6.386098731315949,111.44904482157494,Punjab,apple
37,25,135,195,22.274788811013572,91.1216609760112,5.678945006211298,105.67896289598276,Uttarakhand,apple
38,15,126,203,23.688185883654924,91.40851166896829,5.658813650827402,109.67364853356399,Himachal Pradesh,apple
39,6,138,200,23.725020189613083,92.28699812504739,6.373291341249906,117.73593202826673,Uttar Pradesh,apple
40,24,142,195,22.046490972130254,91.90408423110318,6.1775872975262,105.88977346568598,Uttarakhand,apple
41,7,144,202,23.950780153088083,94.18309540990148,5.519954581604223,108.73481277015838,Jammu and Kashmir,apple
42,31,144,198,21.64888303170346,93.04033108411208,5.5732651453293585,102.75232431722479,Himachal Pradesh,apple
43,17,121,203,23.409341686530112,93.05033122784575,6.040697376037514,108.58190023039234,Jammu and Kashmir,apple
44,17,131,201,22.498024368864424,93.90399920141316,6.326505734837202,114.58150223640465,Punjab,apple
45,21,127,204,21.181998584234183,93.38478899573366,6.128691259696444,121.62334865371481,Jammu and Kashmir,apple
46,28,130,198,23.671334391201967,92.81797483695169,6.312425585907719,112.44966435821668,Himachal Pradesh,apple
47,13,138,196,23.594029655202252,91.65466401848016,6.24438720942574,110.31112951008186,Himachal Pradesh,apple
48,20,124,203,22.57571831225247,90.86998411476345,6.424320304652893,102.8766342384073,Himachal Pradesh,apple
49,14,141,198,21.298473136670456,90.23630716796411,6.179870319156954,104.09566250698958,Nagaland,apple
50,1,131,198,23.484857575144126,92.26880276679631,5.580800676977178,120.69903633249048,Jammu and Kashmir,apple
51,26,137,200,23.72784276613387,93.72550235194069,6.095822863876638,100.18884242382454,Andhra Pradesh,apple
52,2,141,199,23.76158474405155,93.04464209137106,5.738782689638787,102.90324360258961,Uttar Pradesh,apple
53,18,120,196,21.568615661981344,93.92283740787462,5.880428491192772,123.08789106124294,Andhra Pradesh,apple
54,19,128,204,23.55049126989167,91.04980950062425,6.403795244515092,124.03462974886321,Uttar Pradesh,apple
55,9,133,197,22.459614880151772,93.6733298152294,5.660562235022853,114.95101516702096,Uttarakhand,apple
56,21,121,204,21.03731110471399,90.73524128150122,5.971613461875759,119.61739171703225,Himachal Pradesh,apple
57,37,121,196,21.313761962724925,94.14032272778958,5.902108055925576,116.69143355415733,Punjab,apple
58,8,135,195,21.87507948436786,93.89159308410262,6.265585411589457,100.31895781769101,Nagaland,apple
59,21,132,200,21.985129983567592,94.50600519690039,6.280423390970766,119.8255246871783,Himachal Pradesh,apple
60,16,123,199,22.818359381438004,93.84682241685435,5.891484638882183,124.73655250087292,Nagaland,apple
61,39,143,195,23.009945662992312,92.18981135511396,5.975781931650032,123.47777126336261,Himachal Pradesh,apple
62,38,129,199,22.694309679931607,93.03350191693555,6.293560943317204,115.78000088387144,Nagaland,apple
63,39,143,199,21.539047978883904,92.77935697951162,6.216282605111014,122.63011722349398,Nagaland,apple
64,25,134,197,23.02075797276426,93.1741307938967,5.762084193657817,124.60188787828896,Uttar Pradesh,apple
65,23,120,202,21.73941013237837,91.9325247398983,6.069251519678897,102.84946160901896,Jammu and Kashmir,apple
66,38,138,201,21.544928258167104,93.92817530647487,6.313628894632554,113.20054308412827,Jammu and Kashmir,apple
67,15,126,197,21.230256565707723,91.7545230155049,6.116069565990833,113.5110494587269,Jammu and Kashmir,apple
68,37,141,196,21.927903609231286,90.92442195810612,5.609637124793685,107.37274009220334,Jammu and Kashmir,apple
69,19,122,197,21.795375581314726,93.09744981909635,6.267214778471243,120.53575674569095,Punjab,apple
70,19,126,198,23.0124010297492,94.75310559309733,6.436890793390613,115.32757708388847,Punjab,apple
71,22,144,199,21.464521454020495,90.16385827782887,6.467996869897143,121.14626755533698,Punjab,apple
72,32,124,195,21.62904011216523,94.15037460846418,6.310750056166935,114.29131732366925,Nagaland,apple
73,5,139,195,22.904064016775397,91.5550864090263,6.102768189997559,113.36227156694669,Uttar Pradesh,apple
74,27,130,198,23.987887281078905,94.57929052531459,6.4102960877291375,104.91693354201266,Himachal Pradesh,apple
75,10,127,201,23.17785255093636,91.54072799916572,5.517493815001271,124.95259729217705,Nagaland,apple
76,28,134,200,21.227115589325706,91.88083054633731,5.780170920783712,118.69545873894316,Uttarakhand,apple
77,22,138,195,23.481453576702663,92.28508752484512,6.38180502241988,120.13160296946474,Nagaland,apple
78,6,129,203,23.364949366331494,90.57663797234599,6.183582845207321,116.61656507849753,Himachal Pradesh,apple
79,32,125,201,22.030326567886856,92.83567684675825,6.123289067973056,102.82684090239032,Uttarakhand,apple
80,35,124,200,23.10426072409966,92.28636834070923,5.9536533117746,115.10675820760726,Uttarakhand,apple
